school,school_fna,site,city,state,seed,overall_se,year,id,result_num,osm_id,display_na,category,type,latlong,_distance
Villanova University,Villanova,"Buffalo, NY",Radnor Township,PA,1,,2017,201701,0,5368369743,"Villanova University, East Lancaster Avenue, Villanova, Radnor Township, Delaware County, Pennsylvania, 19010, United States of America",amenity,university,"40.03575,-75.3401787",405
,,,Buffalo,NY,,,,201701,0,175031,"Buffalo, Erie County, New York, United States of America",place,city,"42.8867166,-78.8783922",405
University of Florida,Florida,"Orlando, FL",Gainesville,FL,4,,2017,201702,0,128575384,"University of Florida, Southwest 36th Place, Idylwild, Malore Gardens, Alachua County, Florida, 32611, United States of America",amenity,university,"29.6328784,-82.34901330482433",144
,,,Orlando,FL,,,,201702,0,99513584,"Orlando, Central Boulevard, Thornton Park, Orlando, Orange County, Florida, 32801, United States of America",highway,traffic_signals,"28.5421109,-81.3790304",144
Baylor University,Baylor,"Tulsa, OK",Waco,TX,3,,2017,201703,0,163627351,"Baylor University, 1301, South University Parks Drive, East Waco, Waco, McLennan County, Texas, 76706, United States of America",amenity,university,"31.55043405,-97.1102905567766",488
,,,Tulsa,OK,,,,201703,0,184985,"Tulsa, Tulsa County, Oklahoma, United States of America",place,city,"36.1556805,-95.9929113",488
Duke University,Duke,"Greenville, SC",Durham,NC,2,,2017,201704,0,7407432,"Duke University, Campus Walk Avenue, Crest Street, University Estates, Durham, Durham County, North Carolina, 27705, United States of America",amenity,university,"36.00015569999999,-78.94422972195878",317
,,,Greenville,SC,,,,201704,0,193989,"Greenville, Greenville County, South Carolina, United States of America",place,city,"34.851354,-82.3984882",317
University of Kansas,Kansas,"Tulsa, OK",Lawrence,KS,1,,2017,201705,0,358625153,"University of Kansas, Jayhawk Boulevard, Lawrence, Douglas County, Kansas, 66045, United States of America",amenity,university,"38.958058,-95.2477503",297
,,,Tulsa,OK,,,,201705,0,184985,"Tulsa, Tulsa County, Oklahoma, United States of America",place,city,"36.1556805,-95.9929113",297
Purdue University,Purdue,"Milwaukee, WI",West Lafayette,IN,4,,2017,201706,0,74143797,"Purdue University, Lindberg Road, Wabash Shores, West Lafayette, Tippecanoe County, Indiana, 47906, United States of America",amenity,university,"40.43195815,-86.92391089364378",281
,,,Milwaukee,WI,,,,201706,0,251075,"Milwaukee, Milwaukee County, Wisconsin, United States of America",place,city,"43.0349931,-87.922497",281
University of Oregon,Oregon,"Sacramento, CA",Eugene,OR,3,,2017,201707,0,2084414,"Jordan Schnitzer Museum of Art, 1430, Johnson Lane, College Hill, Eugene, Lane County, Oregon, 97403, United States of America",tourism,museum,"44.04426385,-123.07682891244703",581
,,,Sacramento,CA,,,,201707,0,6232940,"Sacramento, Sacramento County, California, United States of America",place,city,"38.5815719,-121.4943996",581
