school_full_name,common_name,team,city,state,type,conference
Abilene Christian University,Abilene Christian,Wildcats,Abilene,Texas,Private/Churches of Christ,Southland Conference
University of Akron,Akron,Zips,Akron,Ohio,State,Mid-American Conference
University of Alabama,Alabama,Crimson Tide,Tuscaloosa,Alabama,State,Southeastern Conference
Alabama Agricultural and Mechanical University,Alabama A&M,Bulldogs,Huntsville,Alabama,State,Southwestern Athletic Conference
University of Alabama at Birmingham,UAB,Blazers,Birmingham,Alabama,State,Conference USA
Alabama State University,Alabama State,Hornets,Montgomery,Alabama,State,Southwestern Athletic Conference
"University at Albany, SUNY",Albany,Great Danes,Albany,New York,State,America East Conference
Alcorn State University,Alcorn State,Braves,Lorman,Mississippi,State,Southwestern Athletic Conference
American University,American,Eagles,"Washington, D.C.",District of Columbia,Private/Methodist,Patriot League
Appalachian State University,Appalachian State,Mountaineers,Boone,North Carolina,State,Sun Belt Conference
University of Arizona,Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference
Arizona State University,Arizona State,Sun Devils,Tempe,Arizona,State,Pac-12 Conference
University of Arkansas,Arkansas,Razorbacks,Fayetteville,Arkansas,State,Southeastern Conference
University of Arkansas at Little Rock,Little Rock,Trojans,Little Rock,Arkansas,State,Sun Belt Conference
University of Arkansas at Pine Bluff,Arkansas-Pine Bluff,Golden Lions,Pine Bluff,Arkansas,State,Southwestern Athletic Conference
Arkansas State University,Arkansas State,Red Wolves,Jonesboro,Arkansas,State,Sun Belt Conference
Auburn University,Auburn,Tigers,Auburn,Alabama,State,Southeastern Conference
Austin Peay State University,Austin Peay,Governors,Clarksville,Tennessee,State,Ohio Valley Conference
Ball State University,Ball State,Cardinals,Muncie,Indiana,State,Mid-American Conference
Baylor University,Baylor,Bears,Waco,Texas,Private/Baptist,Big 12 Conference
Belmont University,Belmont,Bruins,Nashville,Tennessee,Private/Christian,Ohio Valley Conference
Bethune-Cookman University,Bethune-Cookman,Wildcats,Daytona Beach,Florida,Private/Methodist,Mid-Eastern Athletic Conference
Binghamton University,Binghamton,Bearcats,Vestal,New York,State,America East Conference
Boise State University,Boise State,Broncos,Boise,Idaho,State,Mountain West Conference
Boston College,Boston College,Eagles,Chestnut Hill,Massachusetts,Private/Catholic,Atlantic Coast Conference
Boston University,Boston University,Terriers,Boston,Massachusetts,Private/Non-sectarian,Patriot League
Bowling Green State University,Bowling Green,Falcons,Bowling Green,Ohio,State,Mid-American Conference
Bradley University,Bradley,Braves,Peoria,Illinois,Private/Non-Sectarian,Missouri Valley Conference
Brigham Young University,BYU,Cougars,Provo,Utah,Private/Latter-Day Saints,West Coast Conference
Brown University,Brown,Bears,Providence,Rhode Island,Private/Non-Sectarian,Ivy League
Bryant University,Bryant,Bulldogs,Smithfield,Rhode Island,Private/Non-Sectarian,Northeast Conference
Bucknell University,Bucknell,Bison,Lewisburg,Pennsylvania,Private/Non-Sectarian,Patriot League
University at Buffalo,Buffalo,Bulls,Buffalo,New York,State,Mid-American Conference
Butler University,Butler,Bulldogs,Indianapolis,Indiana,Private/Non-Sectarian,Big East Conference
"University of California, Berkeley",California,Golden Bears,Berkeley,California,State,Pac-12 Conference
"University of California, Davis",UC Davis,Aggies,Davis,California,State,Big West Conference
"University of California, Irvine",UC Irvine,Anteaters,Irvine,California,State,Big West Conference
"University of California, Los Angeles",UCLA,Bruins,Los Angeles,California,State,Pac-12 Conference
California Polytechnic State University,Cal Poly,Mustangs,San Luis Obispo,California,State,Big West Conference
"University of California, Riverside",UC Riverside,Highlanders,Riverside,California,State,Big West Conference
"University of California, Santa Barbara",UC Santa Barbara,Gauchos,Santa Barbara,California,State,Big West Conference
"California State University, Bakersfield",Cal State Bakersfield,Roadrunners,Bakersfield,California,State,Western Athletic Conference
"California State University, Fresno",Fresno State,Bulldogs,Fresno,California,State,Mountain West Conference
"California State University, Fullerton",Cal State Fullerton,Titans,Fullerton,California,State,Big West Conference
"California State University, Long Beach",Long Beach State,49ers,Long Beach,California,State,Big West Conference
"California State University, Northridge",Cal State Northridge,Matadors,Northridge,California,State,Big West Conference
"California State University, Sacramento",Sacramento State,Hornets,Sacramento,California,State,Big Sky Conference
Campbell University,Campbell,Fighting Camels,Buies Creek,North Carolina,Private/Baptist,Big South Conference
Canisius College,Canisius,Golden Griffins,Buffalo,New York,Private/Catholic,Metro Atlantic Athletic Conference
University of Central Arkansas,Central Arkansas,Bears,Conway,Arkansas,State,Southland Conference
Central Connecticut State University,Central Connecticut,Blue Devils,New Britain,Connecticut,State,Northeast Conference
University of Central Florida,UCF,Knights,Orlando,Florida,State,American Athletic Conference
Central Michigan University,Central Michigan,Chippewas,Mount Pleasant,Michigan,State,Mid-American Conference
College of Charleston,College of Charleston,Cougars,Charleston,South Carolina,State,Colonial Athletic Association
Charleston Southern University,Charleston Southern,Buccaneers,North Charleston,South Carolina,Private/Baptist,Big South Conference
Chicago State University,Chicago State,Cougars,Chicago,Illinois,State,Western Athletic Conference
University of Cincinnati,Cincinnati,Bearcats,Cincinnati,Ohio,State,American Athletic Conference
The Citadel,The Citadel,Bulldogs,Charleston,South Carolina,State,Southern Conference
Clemson University,Clemson,Tigers,Clemson,South Carolina,State,Atlantic Coast Conference
Cleveland State University,Cleveland State,Vikings,Cleveland,Ohio,State,Horizon League
Coastal Carolina University,Coastal Carolina,Chanticleers,Conway,South Carolina,State,Sun Belt Conference
Colgate University,Colgate,Raiders,Hamilton,New York,Private/Non-sectarian,Patriot League
University of Colorado Boulder,Colorado,Buffaloes,Boulder,Colorado,State,Pac-12 Conference
Colorado State University,Colorado State,Rams,Fort Collins,Colorado,State,Mountain West Conference
Columbia University,Columbia,Lions,Manhattan,New York,Private/Non-sectarian,Ivy League
University of Connecticut,UConn,Huskies,Storrs,Connecticut,State,American Athletic Conference
Coppin State University,Coppin State,Eagles,Baltimore,Maryland,State,Mid-Eastern Athletic Conference
Cornell University,Cornell,Big Red,Ithaca,New York,Private/Statutory state,Ivy League
Creighton University,Creighton,Bluejays,Omaha,Nebraska,Private/Catholic,Big East Conference
Dartmouth College,Dartmouth,Big Green,Hanover,New Hampshire,Private/Non-sectarian,Ivy League
Davidson College,Davidson,Wildcats,Davidson,North Carolina,Private/Presbyterian,Atlantic 10 Conference
University of Dayton,Dayton,Flyers,Dayton,Ohio,Private/Catholic,Atlantic 10 Conference
University of Delaware,Delaware,Fightin' Blue Hens,Newark,Delaware,Private-state hybrid,Colonial Athletic Association
Delaware State University,Delaware State,Hornets,Dover,Delaware,State,Mid-Eastern Athletic Conference
University of Denver,Denver,Pioneers,Denver,Colorado,Private/Non-sectarian,The Summit League
DePaul University,DePaul,Blue Demons,Chicago,Illinois,Private/Catholic,Big East Conference
University of Detroit Mercy,Detroit,Titans,Detroit,Michigan,Private/Catholic,Horizon League
Drake University,Drake,Bulldogs,Des Moines,Iowa,Private/Non-sectarian,Missouri Valley Conference
Drexel University,Drexel,Dragons,Philadelphia,Pennsylvania,Private/Non-sectarian,Colonial Athletic Association
Duke University,Duke,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
Duquesne University,Duequesne,Dukes,Pittsburgh,Pennsylvania,Private/Catholic,Atlantic 10 Conference
East Carolina University,East Carolina,Pirates,Greenville,North Carolina,State,American Athletic Conference
East Tennessee State University,East Tennessee State,Buccaneers,Johnson City,Tennessee,State,Southern Conference
