seed,school_common_name,site,year,id,school_full_name,team,city,state,type,conference,distance,address,lng,lat,geometry
1.0,Duke,"Columbia, SC",2019.0,20190,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,179.76568496216188,"Columbia, SC",-81.03433129999999,34.000749299999995,POINT (-81.03433129999999 34.0007493)
1.0,Gonzaga,"Salt Lake City, UT",2019.0,20191,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference,549.3802643006065,"Salt Lake City, UT",-111.88679750000001,40.759619799999996,POINT (-111.8867975 40.7596198)
1.0,North Carolina,"Columbus, OH",2019.0,20192,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference,352.05289272667414,"Columbus, OH",-83.00070649999999,39.9622601,POINT (-83.00070649999999 39.9622601)
1.0,Virginia,"Columbia, SC",2019.0,20193,University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference,296.2370232723774,"Columbia, SC",-81.03433129999999,34.000749299999995,POINT (-81.03433129999999 34.0007493)
2.0,Michigan State,"Des Moines, IA",2019.0,20194,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference,571.4846270796257,"Des Moines, IA",-93.60371490000001,41.5910641,POINT (-93.60371490000001 41.5910641)
2.0,Michigan,"Des Moines, IA",2019.0,20195,University of Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference,616.4469337294257,"Des Moines, IA",-93.60371490000001,41.5910641,POINT (-93.60371490000001 41.5910641)
2.0,Kentucky,"Jacksonville, FL",2019.0,20196,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference,509.9686235419853,"Jacksonville, FL",-81.655651,30.3321838,POINT (-81.65565100000001 30.3321838)
2.0,Tennessee,"Columbus, OH",2019.0,20197,University of Tennessee,Volunteers,Knoxville,Tennessee,State,Southeastern Conference,255.86105866165448,"Columbus, OH",-83.00070649999999,39.9622601,POINT (-83.00070649999999 39.9622601)
3.0,LSU,"Jacksonville, FL",2019.0,20198,Louisiana State University,Tigers,Baton Rouge,Louisiana,State,Southeastern Conference,592.3306578855246,"Jacksonville, FL",-81.655651,30.3321838,POINT (-81.65565100000001 30.3321838)
3.0,Texas Tech,"Tulsa, OK",2019.0,20199,Texas Tech University,Red Raiders,Lubbock,Texas,State,Big 12 Conference,400.1462591052398,"Tulsa, OK",-95.9929113,36.1556805,POINT (-95.9929113 36.1556805)
3.0,Houston,"Tulsa, OK",2019.0,201910,University of Houston,Cougars,Houston,Texas,State,American Athletic Conference,401.9589937496162,"Tulsa, OK",-95.9929113,36.1556805,POINT (-95.9929113 36.1556805)
3.0,Purdue,"Hartford, CT",2019.0,201911,Purdue University,Boilermakers,West Lafayette,Indiana,State,Big Ten Conference,888.4590457170598,"Hartford, CT",-72.6908547,41.764582,POINT (-72.6908547 41.764582)
4.0,Virginia Tech,"San Jose, CA",2019.0,201912,Virginia Tech,Hokies,Blacksburg,Virginia,State,Atlantic Coast Conference,2577.0866685130677,"San Jose, CA",-121.89058329999999,37.3361905,POINT (-121.8905833 37.3361905)
4.0,Florida State,"Hartford, CT",2019.0,201913,Florida State University,Seminoles,Tallahassee,Florida,State,Atlantic Coast Conference,1007.7308678549208,"Hartford, CT",-72.6908547,41.764582,POINT (-72.6908547 41.764582)
4.0,Kansas,"Salt Lake City, UT",2019.0,201914,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,1040.1673956607126,"Salt Lake City, UT",-111.88679750000001,40.759619799999996,POINT (-111.8867975 40.7596198)
4.0,Kansas State,"San Jose, CA",2019.0,201915,Kansas State University,Wildcats,Manhattan,Kansas,State,Big 12 Conference,1576.8386110379208,"San Jose, CA",-121.89058329999999,37.3361905,POINT (-121.8905833 37.3361905)
1.0,Villanova,"Pittsburgh, PA",2018.0,201816,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference,290.0928240228123,"Pittsburgh, PA",-79.99008609999998,40.4416941,POINT (-79.99008609999998 40.4416941)
1.0,Kansas,"Wichita, KS",2018.0,201817,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,151.84993570343457,"Wichita, KS",-97.3375448,37.6922361,POINT (-97.3375448 37.6922361)
1.0,Xavier,"Nashville, TN",2018.0,201818,Xavier University,Musketeers,Cincinnati,Ohio,Private/Catholic,Big East Conference,234.5367633048116,"Nashville, TN",-86.7743531,36.1622296,POINT (-86.7743531 36.1622296)
1.0,Virginia,"Charlotte, NC",2018.0,201819,University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference,227.36289571355255,"Charlotte, NC",-80.8431268,35.2270869,POINT (-80.84312679999999 35.2270869)
2.0,Purdue,"Detroit, MI",2018.0,201820,Purdue University,Boilermakers,West Lafayette,Indiana,State,Big Ten Conference,268.3406569945605,"Detroit, MI",-83.04664029999999,42.331550899999996,POINT (-83.04664029999999 42.3315509)
