seed,school,site,year,id
1,Duke,"Columbia, SC",2019,20190
1,Gonzaga,"Salt Lake City, UT",2019,20191
1,UNC,"Columbus, OH",2019,20192
1,Virginia,"Columbia, SC",2019,20193
2,Michigan State,"Des Moines, IA",2019,20194
2,Michigan,"Des Moines, IA",2019,20195
2,Kentucky,"Jacksonville, FL",2019,20196
2,Tennessee,"Columbus, OH",2019,20197
3,LSU,"Jacksonville, FL",2019,20198
3,Texas Tech,"Tulsa, OK",2019,20199
3,Houston,"Tulsa, OK",2019,201910
3,Purdue,"Hartford, CT",2019,201911
4,Virginia Tech,"San Jose, CA",2019,201912
4,Florida State,"Hartford, CT",2019,201913
4,Kansas,"Salt Lake City, UT",2019,201914
4,Kansas State,"San Jose, CA",2019,201915
1,Villanova,"Pittsburgh, PA",2018,201816
1,Kansas,"Wichita, KS",2018,201817
1,Xavier,"Nashville, TN",2018,201818
1,Virginia,"Charlotte, NC",2018,201819
2,Purdue,"Detroit, MI",2018,201820
2,Duke,"Pittsburgh, PA",2018,201821
2,UNC,"Charlotte, NC",2018,201822
2,Cincinnati,"Nashville, TN",2018,201823
3,Texas Tech,"Dallas, TX",2018,201824
3,Michigan State,"Detroit, MI",2018,201825
3,Michigan,"Wichita, KS",2018,201826
3,Tennessee,"Dallas, TX",2018,201827
4,Wichita State,"San Diego, CA",2018,201828
4,Auburn,"San Diego, CA",2018,201829
4,Gonzaga,"Boise, ID",2018,201830
4,Arizona,"Boise, ID",2018,201831
1,Villanova,"Buffalo, NY",2017,201732
1,Kansas,"Tulsa, OK",2017,201733
1,UNC,"Greenville, SC",2017,201734
1,Gonzaga,"Salt Lake City, UT",2017,201735
2,Duke,"Greenville, SC",2017,201736
2,Louisville,"Indianapolis, IN",2017,201737
2,Kentucky,"Indianapolis, IN",2017,201738
2,Arizona,"Salt Lake City, UT",2017,201739
3,Baylor,"Tulsa, OK",2017,201740
3,Oregon,"Sacramento, CA",2017,201741
3,UCLA,"Sacramento, CA",2017,201742
3,Florida State,"Orlando, FL",2017,201743
4,Florida,"Orlando, FL",2017,201744
4,Purdue,"Milwaukee, WI",2017,201745
4,Butler,"Milwaukee, WI",2017,201746
4,West Virginia,"Buffalo, NY",2017,201747
1,UNC,"Raleigh, NC",2016,201648
1,Kansas,"Des Moines, IA",2016,201649
1,Oregon,"Spokane, WA",2016,201650
1,Virginia,"Raleigh, NC",2016,201651
2,Xavier,"St. Louis, MO",2016,201652
2,Villanova,"Brooklyn, NY",2016,201653
2,Oklahoma,"Oklahoma City, OK",2016,201654
2,Michigan State,"St. Louis, MO",2016,201655
3,West Virginia,"Brooklyn, NY",2016,201656
3,Miami (FL),"Providence, RI",2016,201657
3,Texas A&M,"Oklahoma City, OK",2016,201658
3,Utah,"Denver, CO",2016,201659
4,Kentucky,"Des Moines, IA",2016,201660
4,California,"Spokane, WA",2016,201661
4,Duke,"Providence, RI",2016,201662
4,Iowa State,"Denver, CO",2016,201663
1,Villanova,"Pittsburgh, PA",2015,201564
1,Kentucky,"Louisville, KY",2015,201565
1,Duke,"Charlotte, NC",2015,201566
1,Wisconsin,"Omaha, NE",2015,201567
2,Virginia,"Charlotte, NC",2015,201568
2,Kansas,"Omaha, NE",2015,201569
2,Gonzaga,"Seattle, WA",2015,201570
2,Arizona,"Portland, OR",2015,201571
3,Oklahoma,"Columbus, OH",2015,201572
3,Notre Dame,"Pittsburgh, PA",2015,201573
3,Iowa State,"Louisville, KY",2015,201574
3,Baylor,"Jacksonville, FL",2015,201575
4,Louisville,"Seattle, WA",2015,201576
4,Maryland,"Columbus, OH",2015,201577
4,Georgetown,"Portland, OR",2015,201578
4,UNC,"Jacksonville, FL",2015,201579
1,Wichita State,"St. Louis, MO",2014,201480
1,Florida,"Orlando, FL",2014,201481
1,Virginia,"Raleigh, NC",2014,201482
1,Arizona,"San Diego, CA",2014,201483
2,Michigan,"Milwaukee, WI",2014,201484
2,Kansas,"St. Louis, MO",2014,201485
2,Villanova,"Buffalo, NY",2014,201486
2,Wisconsin,"Milwaukee, WI",2014,201487
3,Duke,"Raleigh, NC",2014,201488
3,Syracuse,"Buffalo, NY",2014,201489
3,Iowa State,"San Antonio, TX",2014,201490
3,Creighton,"San Antonio, TX",2014,201491
4,Louisville,"Orlando, FL",2014,201492
4,UCLA,"San Diego, CA",2014,201493
4,Michigan State,"Spokane, WA",2014,201494
4,San Diego State,"Spokane, WA",2014,201495
1,Indiana,"Dayton, OH",2013,201396
1,Louisville,"Lexington, KY",2013,201397
1,Gonzaga,"Salt Lake City, UT",2013,201398
1,Kansas,"Kansas City, MO",2013,201399
2,Miami (FL),"Austin, TX",2013,2013100
2,Duke,"Philadelphia, PA",2013,2013101
2,Ohio State,"Dayton, OH",2013,2013102
2,Georgetown,"Philadelphia, PA",2013,2013103
3,Marquette,"Lexington, KY",2013,2013104
3,Michigan State,"Auburn Hills, MI",2013,2013105
3,New Mexico,"Salt Lake City, UT",2013,2013106
3,Florida,"Austin, TX",2013,2013107
4,Syracuse,"San Jose, CA",2013,2013108
4,Saint Louis,"San Jose, CA",2013,2013109
4,Kansas State,"Kansas City, MO",2013,2013110
4,Michigan,"Auburn Hills, MI",2013,2013111
1,UNC,"Greensboro, NC",2012,2012112
1,Kentucky,"Louisville, KY",2012,2012113
1,Michigan State,"Columbus, OH",2012,2012114
1,Syracuse,"Pittsburgh, PA",2012,2012115
2,Kansas,"Omaha, NE",2012,2012116
2,Duke,"Greensboro, NC",2012,2012117
2,Missouri,"Omaha, NE",2012,2012118
2,Ohio State,"Pittsburgh, PA",2012,2012119
3,Georgetown,"Columbus, OH",2012,2012120
3,Baylor,"Albuquerque, NM",2012,2012121
3,Marquette,"Louisville, KY",2012,2012122
3,Florida State,"Nashville, TN",2012,2012123
4,Michigan,"Nashville, TN",2012,2012124
4,Indiana,"Portland, OR",2012,2012125
4,Louisville,"Portland, OR",2012,2012126
4,Wisconsin,"Albuquerque, NM",2012,2012127
1,Ohio State,"Cleveland, OH",2011,2011128
