school_common_name,year,school_full_name,team,city,state,type,conference,address,lng,lat,weightedDist,count,mean,std,min,25%,50%,75%,max
Duke,2019.0,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,Duke University Durham North Carolina,-78.94422972195878,36.00015569999999,179.76568496216186,31.0,315.2370862241301,428.73031510559514,8.792190219847676,52.879952950645645,127.4226595727384,367.01960626972226,2068.6519647192754
Gonzaga,2019.0,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference,Gonzaga University Spokane Washington,-117.40304385396809,47.66673855000001,549.3802643006065,9.0,496.2186133646329,238.14917219457718,262.57110478761405,306.24115061816065,549.3802643006065,549.3802643006065,1039.6679277077517
North Carolina,2019.0,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference,University of North Carolina at Chapel Hill Chapel Hill North Carolina,-79.04775326525106,35.90503535,352.05289272667414,26.0,497.98284257995056,705.3872103800754,26.55305978252759,86.31546579653153,291.47371858149063,476.94665789857606,2786.5430993019922
Virginia,2019.0,University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference,University of Virginia Charlottesville Virginia,-78.5054996018357,38.0410576,296.23702327237737,6.0,233.60416784795356,89.0215141018471,140.74606276835104,162.40027100465142,227.36289571355252,279.01849138267113,369.1700668515368
Michigan State,2019.0,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference,Michigan State University East Lansing Michigan,-84.47791570930522,42.71856800000001,428.61347030971933,12.0,529.3099563887971,540.9465353800731,77.32753582661681,192.96105168842925,429.8943467950859,621.9125380390223,2070.3260870967174
Michigan,2019.0,University of Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference,University of Michigan Ann Arbor Michigan,-83.71003893509602,42.294214200000006,462.33520029706926,13.0,826.297524251986,679.238663371168,38.37324850034797,426.04206841432784,616.4469337294257,893.9447565413147,2207.57096028608
Kentucky,2019.0,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference,University of Kentucky Lexington Kentucky,-84.50481984038481,38.02703575,382.476467656489,22.0,456.16647196038775,378.05440647454583,66.77719798460745,159.8885032887873,373.50368221306707,631.8135595158166,1710.2541302214465
Tennessee,2019.0,University of Tennessee,Volunteers,Knoxville,Tennessee,State,Southeastern Conference,University of Tennessee Knoxville Tennessee,-83.93042902947623,35.9518119,191.89579399624085,6.0,333.60668409401603,241.05620491996643,197.09284999484984,233.8606245524869,244.8608416070707,256.95238387345734,823.6487878585596
LSU,2019.0,Louisiana State University,Tigers,Baton Rouge,Louisiana,State,Southeastern Conference,Louisiana State University Baton Rouge Louisiana,-91.18596767189877,30.40570885,296.1653289427623,4.0,837.2625048874379,405.7516082007775,592.3306578855246,592.3306578855246,659.0994251088694,904.0312721107828,1438.5205114464886
Texas Tech,2019.0,Texas Tech University,Red Raiders,Lubbock,Texas,State,Big 12 Conference,Texas Tech University Lubbock Texas,-101.89959552302756,33.59375255,200.0731295526199,3.0,753.8317529753167,682.1305317927115,321.1812751955784,360.66376715040906,400.1462591052398,970.1569918651858,1540.1677246251318
Houston,2019.0,University of Houston,Cougars,Houston,Texas,State,American Athletic Conference,University of Houston Houston Texas,-95.34406271491372,29.7207902,200.9794968748081,1.0,401.9589937496162,,401.9589937496162,401.9589937496162,401.9589937496162,401.9589937496162,401.9589937496162
Purdue,2019.0,Purdue University,Boilermakers,West Lafayette,Indiana,State,Big Ten Conference,Purdue University West Lafayette Indiana,-86.92391089364378,40.43195815,444.2295228585299,12.0,560.1861650781597,598.182968961332,62.96794127768058,99.7258497504977,239.91993911777445,896.9666104861533,1947.8982754024487
