school_common_name,school_full_name,team,city,state,type,conference,address,lng,lat,key_0,count_dist,mean_dist,std_dist,min_dist,25%_dist,50%_dist,75%_dist,max_dist,count_wtDist,mean_wtDist,std_wtDist,min_wtDist,25%_wtDist,50%_wtDist,75%_wtDist,max_wtDist
St. John's,St. John's University,Red Storm,Jamaica,New York,Private/Catholic,Big East Conference,St. John's University Jamaica New York,-73.99007259999998,40.72994420000001,St. John's,5.0,1803.5291940993109,970.9900102144433,636.8949976980416,885.8121978995558,2355.2974840870443,2358.6416408967884,2780.9996499151234,5.0,1501.4816426098096,1157.5796176984077,159.2237494245104,442.9060989497779,1768.9812306725912,2355.2974840870443,2780.9996499151234
VCU,Virginia Commonwealth University,Rams,Richmond,Virginia,State,Atlantic 10 Conference,Virginia Commonwealth University Richmond Virginia,-77.45306424444706,37.548215,VCU,1.0,1821.113346351128,,1821.113346351128,1821.113346351128,1821.113346351128,1821.113346351128,1821.113346351128,1.0,1365.835009763346,,1365.835009763346,1365.835009763346,1365.835009763346,1365.835009763346,1365.835009763346
Stanford,Stanford University,Cardinal,Palo Alto,California,Private/Non-Sectarian,Pac-12 Conference,Stanford University Palo Alto California,-122.16936535498309,37.43131385,Stanford,8.0,1218.8000282916187,943.3842546507645,346.3885833827748,581.0736479357481,666.5297172907478,2176.3739996156482,2635.125228342715,8.0,811.7078552521148,696.4290236313038,173.1942916913874,364.3318459044337,553.2668750242746,1141.144455441115,2211.465583276387
USC,University of Southern California,Trojans,Los Angeles,California,Private/Non-Sectarian,Pac-12 Conference,University of Southern California Los Angeles California,-118.28586726915087,34.0218833,USC,2.0,1157.498359345454,1146.9031859089253,346.5153392247973,752.0068492851256,1157.498359345454,1562.9898694057824,1968.4813794661106,2.0,781.4949347028912,982.6890625071995,86.62883480619932,434.06188475454525,781.4949347028912,1128.927984651237,1476.361034599583
Seton Hall,Seton Hall University,Pirates,South Orange,New Jersey,Private/Catholic,Big East Conference,Seton Hall University South Orange New Jersey,-74.24685806216726,40.74337195,Seton Hall,4.0,1502.894898686221,983.7429943349857,450.59730937372,771.4230660590624,1608.8513223294149,2340.3231549565735,2343.2796407123346,4.0,778.1829290668891,505.0620640344282,112.64932734343,522.2426358725818,914.2212842839795,1170.1615774782867,1171.6398203561673
Miami (FL),University of Miami,Hurricanes,Coral Gables,Florida,Private/Non-Sectarian,Atlantic Coast Conference,University of Miami Coral Gables Florida,-80.27869157646253,25.7172788,Miami (FL),3.0,1148.9730155717534,30.861708349505616,1121.7485932414013,1132.209900349797,1142.6712074581924,1162.5852267369296,1182.4992460156666,3.0,766.5071610572991,170.55189561338716,571.3356037290962,706.3235243300736,841.311444931051,864.0929397214005,886.87443451175
Virginia Tech,Virginia Tech,Hokies,Blacksburg,Virginia,State,Atlantic Coast Conference,Virginia Tech Blacksburg Virginia,-80.42542518694935,37.21872455,Virginia Tech,1.0,2577.0866685130677,,2577.0866685130677,2577.0866685130677,2577.0866685130677,2577.0866685130677,2577.0866685130677,1.0,644.2716671282669,,644.2716671282669,644.2716671282669,644.2716671282669,644.2716671282669,644.2716671282669
NC State,North Carolina State University,Wolfpack,Raleigh,North Carolina,State,Atlantic Coast Conference,North Carolina State University Raleigh North Carolina,-78.67408695452633,35.77184965,NC State,3.0,1127.5837819434234,630.551342125213,479.75056424358564,821.7252633165617,1163.6999623895379,1451.5003907933424,1739.3008191971467,3.0,563.7918909717117,315.2756710626065,239.87528212179282,410.86263165828086,581.8499811947689,725.7501953966712,869.6504095985733
Dayton,University of Dayton,Flyers,Dayton,Ohio,Private/Catholic,Atlantic 10 Conference,University of Dayton Dayton Ohio,-84.17919478013708,39.73845985,Dayton,1.0,2123.826606639457,,2123.826606639457,2123.826606639457,2123.826606639457,2123.826606639457,2123.826606639457,1.0,530.9566516598643,,530.9566516598643,530.9566516598643,530.9566516598643,530.9566516598643,530.9566516598643
Michigan,University of Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference,University of Michigan Ann Arbor Michigan,-83.71003893509602,42.294214200000006,Michigan,13.0,826.297524251986,679.238663371168,38.37324850034797,426.04206841432784,616.4469337294257,893.9447565413147,2207.57096028608,13.0,508.6935366450697,494.2340070767239,9.593312125086992,199.36746661344182,445.34645596876084,462.63105815535744,1806.4308025140797
