school_common_name,seed,count,mean,std,min,25%,50%,75%,max,mean_wtDist,std_wtDist,min_wtDist,25%_wtDist,50%_wtDist,75%_wtDist,max_wtDist
Alabama,2.0,2.0,192.52413701826393,202.02329508516243,49.67209510589464,121.09811606207928,192.52413701826393,263.9501579744486,335.3761789306332,144.39310276369795,151.51747131387185,37.25407132942098,90.82358704655947,144.39310276369795,197.96261848083643,251.53213419797493
Alabama,4.0,1.0,198.5670729157359,,198.5670729157359,198.5670729157359,198.5670729157359,198.5670729157359,198.5670729157359,49.64176822893398,,49.64176822893398,49.64176822893398,49.64176822893398,49.64176822893398,49.64176822893398
Arizona,1.0,6.0,487.8631832217532,286.79759126305606,0.38782399878422136,405.6405333692251,499.4029528157723,706.043211628104,778.6756782476002,487.8631832217532,286.79759126305606,0.38782399878422136,405.6405333692251,499.4029528157723,706.043211628104,778.6756782476002
Arizona,2.0,7.0,718.1749958173589,279.2599332190024,458.50210361921904,533.2028596268094,533.2028596268094,932.0352178140924,1105.0438525936797,538.6312468630192,209.44494991425182,343.8765777144143,399.90214472010706,399.90214472010706,699.0264133605694,828.7828894452598
Arizona,3.0,4.0,712.8411027119396,689.4261218077646,95.47282273369915,265.47501625023875,550.4090461683428,997.7751326300435,1655.0734957773734,356.4205513559698,344.7130609038823,47.73641136684957,132.73750812511938,275.2045230841714,498.88756631502173,827.5367478886867
Arizona,4.0,3.0,1224.7412396758575,409.1009065428275,778.6756782476002,1045.896014643497,1313.1163510393935,1447.7740203899862,1582.4316897405786,306.1853099189644,102.27522663570687,194.66891956190005,261.47400366087425,328.2790877598484,361.94350509749654,395.60792243514464
Arkansas,1.0,2.0,417.9390968245642,292.82825862016716,210.8782494311959,314.4086731278801,417.9390968245642,521.4695205212483,624.9999442179325,417.9390968245642,292.82825862016716,210.8782494311959,314.4086731278801,417.9390968245642,521.4695205212483,624.9999442179325
Arkansas,2.0,1.0,422.89003086209374,,422.89003086209374,422.89003086209374,422.89003086209374,422.89003086209374,422.89003086209374,317.1675231465703,,317.1675231465703,317.1675231465703,317.1675231465703,317.1675231465703,317.1675231465703
Arkansas,3.0,1.0,581.9819618414759,,581.9819618414759,581.9819618414759,581.9819618414759,581.9819618414759,581.9819618414759,290.99098092073797,,290.99098092073797,290.99098092073797,290.99098092073797,290.99098092073797,290.99098092073797
Arkansas,4.0,3.0,666.0975980419657,224.66661885312956,422.89003086209374,566.203990127296,709.5179493924983,787.7013816319018,865.8848138713054,166.52439951049143,56.16665471328239,105.72250771552343,141.550997531824,177.37948734812457,196.92534540797544,216.47120346782634
Auburn,1.0,1.0,447.91004947439217,,447.91004947439217,447.91004947439217,447.91004947439217,447.91004947439217,447.91004947439217,447.91004947439217,,447.91004947439217,447.91004947439217,447.91004947439217,447.91004947439217,447.91004947439217
Auburn,4.0,1.0,1968.1189467069116,,1968.1189467069116,1968.1189467069116,1968.1189467069116,1968.1189467069116,1968.1189467069116,492.0297366767279,,492.0297366767279,492.0297366767279,492.0297366767279,492.0297366767279,492.0297366767279
BYU,3.0,1.0,415.45816513090585,,415.45816513090585,415.45816513090585,415.45816513090585,415.45816513090585,415.45816513090585,207.72908256545293,,207.72908256545293,207.72908256545293,207.72908256545293,207.72908256545293,207.72908256545293
BYU,4.0,1.0,1741.7706910095715,,1741.7706910095715,1741.7706910095715,1741.7706910095715,1741.7706910095715,1741.7706910095715,435.44267275239287,,435.44267275239287,435.44267275239287,435.44267275239287,435.44267275239287,435.44267275239287
Baylor,3.0,4.0,584.7626535773658,287.7766818062133,294.52230713076517,410.16619933050924,540.518317826829,715.1147720736857,963.49167152504,292.3813267886829,143.88834090310664,147.26115356538259,205.08309966525462,270.2591589134145,357.55738603684284,481.74583576252
Boston College,3.0,1.0,181.49189297656815,,181.49189297656815,181.49189297656815,181.49189297656815,181.49189297656815,181.49189297656815,90.74594648828408,,90.74594648828408,90.74594648828408,90.74594648828408,90.74594648828408,90.74594648828408
