seed,school_common_name,site,year,id,school_full_name,team,city,state,type,conference
1.0,Duke,"Columbia, SC",2019.0,20190,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
1.0,Gonzaga,"Salt Lake City, UT",2019.0,20191,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference
1.0,North Carolina,"Columbus, OH",2019.0,20192,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference
1.0,Virginia,"Columbia, SC",2019.0,20193,University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference
2.0,Michigan State,"Des Moines, IA",2019.0,20194,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference
2.0,Michigan,"Des Moines, IA",2019.0,20195,University of Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference
2.0,Kentucky,"Jacksonville, FL",2019.0,20196,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference
2.0,Tennessee,"Columbus, OH",2019.0,20197,University of Tennessee,Volunteers,Knoxville,Tennessee,State,Southeastern Conference
3.0,LSU,"Jacksonville, FL",2019.0,20198,Louisiana State University,Tigers,Baton Rouge,Louisiana,State,Southeastern Conference
3.0,Texas Tech,"Tulsa, OK",2019.0,20199,Texas Tech University,Red Raiders,Lubbock,Texas,State,Big 12 Conference
3.0,Houston,"Tulsa, OK",2019.0,201910,University of Houston,Cougars,Houston,Texas,State,American Athletic Conference
3.0,Purdue,"Hartford, CT",2019.0,201911,Purdue University,Boilermakers,West Lafayette,Indiana,State,Big Ten Conference
4.0,Virginia Tech,"San Jose, CA",2019.0,201912,Virginia Tech,Hokies,Blacksburg,Virginia,State,Atlantic Coast Conference
4.0,Florida State,"Hartford, CT",2019.0,201913,Florida State University,Seminoles,Tallahassee,Florida,State,Atlantic Coast Conference
4.0,Kansas,"Salt Lake City, UT",2019.0,201914,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
4.0,Kansas State,"San Jose, CA",2019.0,201915,Kansas State University,Wildcats,Manhattan,Kansas,State,Big 12 Conference
1.0,Villanova,"Pittsburgh, PA",2018.0,201816,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference
1.0,Kansas,"Wichita, KS",2018.0,201817,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
1.0,Xavier,"Nashville, TN",2018.0,201818,Xavier University,Musketeers,Cincinnati,Ohio,Private/Catholic,Big East Conference
1.0,Virginia,"Charlotte, NC",2018.0,201819,University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference
2.0,Purdue,"Detroit, MI",2018.0,201820,Purdue University,Boilermakers,West Lafayette,Indiana,State,Big Ten Conference
2.0,Duke,"Pittsburgh, PA",2018.0,201821,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
2.0,North Carolina,"Charlotte, NC",2018.0,201822,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference
2.0,Cincinnati,"Nashville, TN",2018.0,201823,University of Cincinnati,Bearcats,Cincinnati,Ohio,State,American Athletic Conference
3.0,Texas Tech,"Dallas, TX",2018.0,201824,Texas Tech University,Red Raiders,Lubbock,Texas,State,Big 12 Conference
3.0,Michigan State,"Detroit, MI",2018.0,201825,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference
3.0,Michigan,"Wichita, KS",2018.0,201826,University of Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference
3.0,Tennessee,"Dallas, TX",2018.0,201827,University of Tennessee,Volunteers,Knoxville,Tennessee,State,Southeastern Conference
4.0,Wichita State,"San Diego, CA",2018.0,201828,Wichita State University,Shockers,Wichita,Kansas,State,American Athletic Conference
4.0,Auburn,"San Diego, CA",2018.0,201829,Auburn University,Tigers,Auburn,Alabama,State,Southeastern Conference
4.0,Gonzaga,"Boise, ID",2018.0,201830,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference
4.0,Arizona,"Boise, ID",2018.0,201831,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference
1.0,Villanova,"Buffalo, NY",2017.0,201732,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference
1.0,Kansas,"Tulsa, OK",2017.0,201733,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
1.0,North Carolina,"Greenville, SC",2017.0,201734,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference
1.0,Gonzaga,"Salt Lake City, UT",2017.0,201735,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference
2.0,Duke,"Greenville, SC",2017.0,201736,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
2.0,Louisville,"Indianapolis, IN",2017.0,201737,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference
2.0,Kentucky,"Indianapolis, IN",2017.0,201738,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference
2.0,Arizona,"Salt Lake City, UT",2017.0,201739,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference
3.0,Baylor,"Tulsa, OK",2017.0,201740,Baylor University,Bears,Waco,Texas,Private/Baptist,Big 12 Conference
3.0,Oregon,"Sacramento, CA",2017.0,201741,University of Oregon,Ducks,Eugene,Oregon,State,Pac-12 Conference
3.0,UCLA,"Sacramento, CA",2017.0,201742,"University of California, Los Angeles",Bruins,Los Angeles,California,State,Pac-12 Conference
3.0,Florida State,"Orlando, FL",2017.0,201743,Florida State University,Seminoles,Tallahassee,Florida,State,Atlantic Coast Conference
4.0,Florida,"Orlando, FL",2017.0,201744,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference
4.0,Purdue,"Milwaukee, WI",2017.0,201745,Purdue University,Boilermakers,West Lafayette,Indiana,State,Big Ten Conference
4.0,Butler,"Milwaukee, WI",2017.0,201746,Butler University,Bulldogs,Indianapolis,Indiana,Private/Non-Sectarian,Big East Conference
4.0,West Virginia,"Buffalo, NY",2017.0,201747,West Virginia University,Mountaineers,Morgantown,West Virginia,State,Big 12 Conference
1.0,North Carolina,"Raleigh, NC",2016.0,201648,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference
