,key_0,count_dist,mean_dist,std_dist,min_dist,25%_dist,50%_dist,75%_dist,max_dist,count_wtDist,mean_wtDist,std_wtDist,min_wtDist,25%_wtDist,50%_wtDist,75%_wtDist,max_wtDist
0,American Athletic Conference,35.0,494.0792448894286,492.2329873769388,22.73596489,198.95056678,322.42319819,594.84467201,2040.58857771,35.0,349.534236291,393.65124915824407,11.66313367,163.3382413425,241.8173986425,376.7046153225,1708.17373384
1,Atlantic 10 Conference,11.0,831.6632821781818,813.6206124888414,38.1521794,122.33552248000001,274.46578441,1672.8425787800002,1915.38232121,11.0,374.49973681727266,407.0871368672279,19.0760897,58.985972316250006,274.46578441,456.0412646025,1220.891488785
2,Atlantic Coast Conference,139.0,551.8260401062589,609.4141535702823,0.98176618,119.28459087,329.6932388900001,650.2150418199999,2416.71687143,139.0,282.2796923710612,280.5641745228233,0.73321778,82.21515043750001,188.85328803,373.875823845,1350.19568703
3,Big 12 Conference,78.0,505.8281778312821,356.66769126503056,19.55454537,234.912413405,425.12650392500007,728.5279823775,1590.5047075700004,78.0,280.2147606829168,197.51756134259855,9.31435129,146.62103130125,212.50888200000003,395.44865989437506,858.6011272349999
4,Big East Conference,44.0,629.2320492534091,684.6777277851448,10.96719815,241.90594401,354.60710913500003,719.2711079049999,2451.64413534,44.0,377.75678001238646,507.14552050238245,5.483599075,118.25078486875,200.69428914875,373.5231958025,2451.64413534
5,Big Ten Conference,94.0,623.751313653085,598.3307467133275,8.28908914,138.5144698925,443.41345245499997,908.4024594575,2374.85510716,94.0,300.9246870361702,301.3893606609128,8.28908914,95.18160978,207.547234565,393.01327393125,1643.37095225
6,Missouri Valley Conference,2.0,569.147874305,283.9289373213261,368.37979735,468.7638358275,569.147874305,669.5319127824998,769.9159512599998,2.0,142.28696857625,70.98223433033152,92.0949493375,117.190958956875,142.28696857625,167.38297819562496,192.47898781499995
7,Mountain West Conference,13.0,608.7810675846155,411.9669898630178,225.52660445,358.77340169,366.49082951,864.34570213,1494.62094856,13.0,283.6307676711538,187.5593432177438,56.3816511125,130.4677154425,268.050128835,366.49082951,747.31047428
8,Pac-12 Conference,59.0,773.0205946005083,604.1917217918726,0.42253228,368.625238895,591.57626055,916.3886302349999,2341.325928,59.0,442.06863183775425,385.24051897381463,0.42253228,181.91024381875002,364.65778506,568.80845039625,1996.47123671
9,Southeastern Conference,74.0,535.2456206378378,426.8113268814727,47.58459118,232.09449591999999,463.39985067,642.3981946399998,1933.30887456,74.0,288.6583178952703,242.81153660834838,23.860646399999997,118.355641225,213.089863885,413.32006656812507,1468.1753988
10,West Coast Conference,11.0,569.99604572,415.44887473401684,229.39774578,288.30060972499996,549.55293982,549.55293982,1562.78534726,11.0,321.7418084002273,202.37777919116726,71.4467910075,172.048309335,274.77646991,549.55293982,559.541478645
