school_common_name,school_full_name,team,city,state,type,conference,address,lng,lat,key_0,count_dist,mean_dist,std_dist,min_dist,25%_dist,50%_dist,75%_dist,max_dist,count_wtDist,mean_wtDist,std_wtDist,min_wtDist,25%_wtDist,50%_wtDist,75%_wtDist,max_wtDist
St. John's,St. John's University,Red Storm,Jamaica,New York,Private/Catholic,Big East Conference,St. John's University Jamaica New York,-73.99007259999998,40.72994420000001,St. John's,5.0,1604.322755868,819.4558761931609,541.86658055,940.14675042,1968.01244491,2119.94386812,2451.64413534,5.0,1323.0309003375,987.2771205053094,135.4666451375,470.07337521,1589.95790109,1968.01244491,2451.64413534
VCU,Virginia Commonwealth University,Rams,Richmond,Virginia,State,Atlantic 10 Conference,Virginia Commonwealth University Richmond Virginia,-77.45306424444706,37.548215,VCU,1.0,1627.8553183800002,,1627.8553183800002,1627.8553183800002,1627.8553183800002,1627.8553183800002,1627.8553183800002,1.0,1220.891488785,,1220.891488785,1220.891488785,1220.891488785,1220.891488785,1220.891488785
Miami (FL),University of Miami,Hurricanes,Coral Gables,Florida,Private/Non-Sectarian,Atlantic Coast Conference,University of Miami Coral Gables Florida,-80.27869157646253,25.7172788,Miami (FL),3.0,1198.3823243099998,79.58129776340972,1109.63190438,1165.8784073,1222.12491022,1242.7575342750001,1263.39015833,3.0,796.9430007141667,170.99205542385147,611.06245511,721.6431916975,832.2239282849999,889.88327351625,947.5426187475
Stanford,Stanford University,Cardinal,Palo Alto,California,Private/Non-Sectarian,Pac-12 Conference,Stanford University Palo Alto California,-122.16936535498309,37.43131385,Stanford,8.0,1137.8926341737501,785.6665256408838,344.7614856400001,635.0240742975,724.6552876200001,1886.8707128750002,2327.9664515,8.0,763.2595144225,604.6002688628938,172.38074282000005,370.195365740625,615.03845279625,984.8722582862501,1996.47123671
Seton Hall,Seton Hall University,Pirates,South Orange,New Jersey,Private/Catholic,Big East Conference,Seton Hall University South Orange New Jersey,-74.24685806216726,40.74337195,Seton Hall,4.0,1359.1170211625,803.6116916116482,440.57689384,811.0926540025001,1444.64407903,1992.66844619,2106.60303275,4.0,710.4348239281251,427.8775036761564,110.14422346,553.247378771875,839.1467779387501,996.334223095,1053.301516375
USC,University of Southern California,Trojans,Los Angeles,California,Private/Non-Sectarian,Pac-12 Conference,University of Southern California Los Angeles California,-118.28586726915087,34.0218833,USC,2.0,1052.885197805,976.9034214123327,362.11016396,707.4976808824999,1052.885197805,1398.2727147275,1743.66023165,2.0,699.13635736375,860.7028422955938,90.52754099,394.831949176875,699.13635736375,1003.440765550625,1307.7451737375
Virginia Tech,Virginia Tech,Hokies,Blacksburg,Virginia,State,Atlantic Coast Conference,Virginia Tech Blacksburg Virginia,-80.42542518694935,37.21872455,Virginia Tech,1.0,2260.87702463,,2260.87702463,2260.87702463,2260.87702463,2260.87702463,2260.87702463,1.0,565.2192561575,,565.2192561575,565.2192561575,565.2192561575,565.2192561575,565.2192561575
NC State,North Carolina State University,Wolfpack,Raleigh,North Carolina,State,Atlantic Coast Conference,North Carolina State University Raleigh North Carolina,-78.67408695452633,35.77184965,NC State,3.0,1043.36890094,523.3170199155566,523.91517236,779.820605,1035.72603764,1303.0957652299999,1570.46549282,3.0,521.68445047,261.6585099577783,261.95758618,389.9103025,517.86301882,651.5478826149999,785.23274641
Auburn,Auburn University,Tigers,Auburn,Alabama,State,Southeastern Conference,Auburn University Auburn Alabama,-85.49598606691626,32.59196300000001,Auburn,2.0,1166.1953065100001,946.090007236841,497.20864678,831.7019766450001,1166.1953065100001,1500.688636375,1835.18196624,2.0,478.00206917,27.1622025428334,458.79549156,468.398780365,478.00206917,487.605357975,497.20864678
Michigan,University of Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference,University of Michigan Ann Arbor Michigan,-83.71003893509602,42.294214200000006,Michigan,13.0,747.1479618646155,585.311213294673,36.41855431,454.22841471,591.56383313,787.12792796,1951.65796019,13.0,458.04817343807684,438.09140822628126,9.1046385775,176.96024709000002,382.8655087875,393.56396398,1643.37095225
