school_common_name,seed,count,mean,std,min,25%,50%,75%,max,mean_wtDist,std_wtDist,min_wtDist,25%_wtDist,50%_wtDist,75%_wtDist,max_wtDist
Alabama,2.0,2.0,181.47761426000005,189.3533291468699,47.58459118,114.53110272000002,181.47761426000005,248.42412580000007,315.3706373400001,136.10821069500003,142.01499686015242,35.688443385,85.89832704000003,136.10821069500003,186.31809435000008,236.52797800500008
Alabama,4.0,1.0,185.24933623,,185.24933623,185.24933623,185.24933623,185.24933623,185.24933623,46.3123340575,,46.3123340575,46.3123340575,46.3123340575,46.3123340575,46.3123340575
Arizona,1.0,6.0,494.2519564383333,299.83403393240843,0.42253228,381.25926475250003,515.16005497,700.1794839299998,836.29080148,494.2519564383333,299.83403393240843,0.42253228,381.25926475250003,515.16005497,700.1794839299998,836.29080148
Arizona,2.0,7.0,726.6543268942858,252.87757166242022,431.29982481,591.57626055,591.57626055,884.9658987649999,1110.61988427,544.9907451707143,189.65817874681522,323.4748686075,443.68219541250005,443.68219541250005,663.72442407375,832.9649132025
Arizona,3.0,4.0,698.4225574275,640.5547351310743,99.81703744,263.048092285,576.87462269,1012.2490878325,1540.12394689,349.21127871375,320.27736756553713,49.90851872,131.5240461425,288.437311345,506.12454391625,770.061973445
Arizona,4.0,3.0,1170.7893094366666,313.78258150225713,836.29080148,1026.8683940350002,1217.44598659,1338.038563415,1458.63114024,292.69732735916665,78.44564537556428,209.07270037,256.71709850875004,304.3614966475,334.50964085375,364.65778506
Arkansas,1.0,2.0,384.26204010999993,272.31623895175176,191.70538092,287.983710515,384.26204010999993,480.5403697049998,576.8186992999998,384.26204010999993,272.31623895175176,191.70538092,287.983710515,384.26204010999993,480.5403697049998,576.8186992999998
Arkansas,2.0,1.0,450.27649515,,450.27649515,450.27649515,450.27649515,450.27649515,450.27649515,337.7073713625,,337.7073713625,337.7073713625,337.7073713625,337.7073713625,337.7073713625
Arkansas,3.0,1.0,585.18856667,,585.18856667,585.18856667,585.18856667,585.18856667,585.18856667,292.594283335,,292.594283335,292.594283335,292.594283335,292.594283335,292.594283335
Arkansas,4.0,3.0,622.8788602933334,164.26463394420605,450.27649515,545.6724779250001,641.0684607000002,709.1800428650001,777.2916250300002,155.71971507333336,41.06615848605151,112.5691237875,136.41811948125002,160.26711517500004,177.29501071625003,194.32290625750005
Auburn,1.0,1.0,497.20864678,,497.20864678,497.20864678,497.20864678,497.20864678,497.20864678,497.20864678,,497.20864678,497.20864678,497.20864678,497.20864678,497.20864678
Auburn,4.0,1.0,1835.18196624,,1835.18196624,1835.18196624,1835.18196624,1835.18196624,1835.18196624,458.79549156,,458.79549156,458.79549156,458.79549156,458.79549156,458.79549156
BYU,3.0,1.0,354.4797280800001,,354.4797280800001,354.4797280800001,354.4797280800001,354.4797280800001,354.4797280800001,177.23986404000004,,177.23986404000004,177.23986404000004,177.23986404000004,177.23986404000004,177.23986404000004
BYU,4.0,1.0,1562.78534726,,1562.78534726,1562.78534726,1562.78534726,1562.78534726,1562.78534726,390.696336815,,390.696336815,390.696336815,390.696336815,390.696336815,390.696336815
Baylor,3.0,4.0,569.5067160575001,259.4757939217954,324.57935556,405.38865411,517.2509683850001,681.3690303325,918.9455719,284.75335802875003,129.7378969608977,162.28967778,202.694327055,258.62548419250004,340.68451516625,459.47278595
Boston College,3.0,1.0,168.54067004,,168.54067004,168.54067004,168.54067004,168.54067004,168.54067004,84.27033502,,84.27033502,84.27033502,84.27033502,84.27033502,84.27033502
Boston College,4.0,2.0,1315.9829997699999,1092.041809900678,543.79283065,929.8879152100001,1315.9829997699999,1702.07808433,2088.17316889,328.99574994249997,273.0104524751695,135.9482076625,232.47197880250002,328.99574994249997,425.5195210825,522.0432922225
Butler,4.0,1.0,238.55054061,,238.55054061,238.55054061,238.55054061,238.55054061,238.55054061,59.6376351525,,59.6376351525,59.6376351525,59.6376351525,59.6376351525,59.6376351525
California,4.0,1.0,719.11887201,,719.11887201,719.11887201,719.11887201,719.11887201,719.11887201,179.7797180025,,179.7797180025,179.7797180025,179.7797180025,179.7797180025,179.7797180025
Cincinnati,1.0,1.0,256.72564236,,256.72564236,256.72564236,256.72564236,256.72564236,256.72564236,256.72564236,,256.72564236,256.72564236,256.72564236,256.72564236,256.72564236
Cincinnati,2.0,5.0,681.238853108,588.3035200780884,239.49502453,239.49502453,512.5689378999999,753.3564141100002,1661.27886447,510.92913983100004,441.22764005856635,179.6212683975,179.6212683975,384.4267034249999,565.0173105825002,1245.9591483525
Cincinnati,3.0,2.0,496.292124555,341.7771351018091,254.61919467,375.45565961249997,496.292124555,617.1285894975,737.96505444,248.1460622775,170.88856755090455,127.309597335,187.72782980624999,248.1460622775,308.56429474875,368.98252722
Cincinnati,4.0,2.0,72.84021547500001,37.03497334738643,46.65253468,59.746375077500005,72.84021547500001,85.93405587250001,99.02789627,18.210053868750002,9.258743336846608,11.66313367,14.936593769375001,18.210053868750002,21.483513968125003,24.7569740675
Clemson,4.0,2.0,412.9072432100001,429.6127208400465,109.12517502,261.01620911500004,412.9072432100001,564.798277305,716.6893114000002,103.22681080250003,107.40318021001163,27.281293755,65.25405227875001,103.22681080250003,141.19956932625,179.17232785000004
Creighton,3.0,1.0,830.5866157,,830.5866157,830.5866157,830.5866157,830.5866157,830.5866157,415.29330785,,415.29330785,415.29330785,415.29330785,415.29330785,415.29330785
Dayton,4.0,1.0,1732.94779561,,1732.94779561,1732.94779561,1732.94779561,1732.94779561,1732.94779561,433.2369489025,,433.2369489025,433.2369489025,433.2369489025,433.2369489025,433.2369489025
DePaul,3.0,1.0,12.34042806,,12.34042806,12.34042806,12.34042806,12.34042806,12.34042806,6.17021403,,6.17021403,6.17021403,6.17021403,6.17021403,6.17021403
Duke,1.0,14.0,136.74422829714288,117.31146189087094,22.85402538,47.628087150000006,119.28459087,166.2182959275,421.79284851,136.74422829714288,117.31146189087094,22.85402538,47.628087150000006,119.28459087,166.2182959275,421.79284851
Duke,2.0,11.0,267.48326901818183,293.3424755657827,8.661911739999999,47.628087150000006,210.03582542,327.01202302499996,972.68173598,200.61245176363636,220.00685667433703,6.496433804999999,35.721065362500006,157.526869065,245.25901726874997,729.511301985
Duke,3.0,5.0,769.79789077,689.221288060314,22.85402538,345.59412278,633.02791996,1044.1518283999999,1803.36155733,384.898945385,344.610644030157,11.42701269,172.79706139,316.51395998,522.0759141999999,901.680778665
Duke,4.0,1.0,570.39993687,,570.39993687,570.39993687,570.39993687,570.39993687,570.39993687,142.5999842175,,142.5999842175,142.5999842175,142.5999842175,142.5999842175,142.5999842175
Florida,1.0,3.0,340.74742898,212.44022603844297,95.44258559999999,279.421218135,463.39985067,463.39985067,463.39985067,340.74742898,212.44022603844297,95.44258559999999,279.421218135,463.39985067,463.39985067,463.39985067
Florida,2.0,2.0,116.61890928,0.0,116.61890928,116.61890928,116.61890928,116.61890928,116.61890928,87.46418195999999,0.0,87.46418195999999,87.46418195999999,87.46418195999999,87.46418195999999,87.46418195999999
Florida,3.0,4.0,589.715254405,410.48962720040925,63.6905275,363.47251987749996,686.605634435,912.8483689625001,921.95922125,294.8576272025,205.24481360020462,31.84526375,181.73625993874998,343.3028172175,456.42418448125005,460.979610625
Florida,4.0,2.0,307.17475385,299.434503929812,95.44258559999999,201.308669725,307.17475385,413.040837975,518.9069221,76.7936884625,74.858625982453,23.860646399999997,50.32716743125,76.7936884625,103.26020949375,129.726730525
Florida State,3.0,4.0,705.7392009524999,844.4163569200562,219.17619283,219.17619283,319.710913775,806.2739218975,1964.35878343,352.86960047624996,422.2081784600281,109.588096415,109.588096415,159.8554568875,403.13696094875,982.179391715
Florida State,4.0,2.0,717.009317465,419.68722495776535,420.24563472000006,568.6274760925,717.009317465,865.3911588375,1013.77300021,179.25232936625,104.92180623944134,105.06140868000001,142.156869023125,179.25232936625,216.347789709375,253.4432500525
