,key_0,count_dist,mean_dist,std_dist,min_dist,25%_dist,50%_dist,75%_dist,max_dist,count_wtDist,mean_wtDist,std_wtDist,min_wtDist,25%_wtDist,50%_wtDist,75%_wtDist,max_wtDist
0,American Athletic Conference,35.0,494.0792448894286,492.2329873769388,22.73596489,198.95056678,322.42319819,594.84467201,2040.58857771,35.0,356.05498345555714,384.9889938588005,20.0605899124,166.60500616935002,232.14470269679998,406.671785225,1708.17373384
1,Atlantic 10 Conference,11.0,831.6632821781818,813.6206124888414,38.1521794,122.33552248000001,274.46578441,1672.8425787800002,1915.38232121,11.0,457.1083280743182,434.3877134543636,19.457611494000002,72.3321825454,274.46578441,784.3909751163001,1172.0558292336002
2,Atlantic Coast Conference,139.0,551.8260401062589,609.4141535702823,0.98176618,119.28459087,329.6932388900001,650.2150418199999,2416.71687143,139.0,314.53193982111725,304.2902432174975,0.7068716496,85.9203235734,205.6549113216,437.21220094355,1296.1878595488
3,Big 12 Conference,78.0,505.8281778312821,356.66769126503056,19.55454537,234.912413405,425.12650392500007,728.5279823775,1590.5047075700004,78.0,307.89733184656933,199.35272501763194,14.0792726664,166.218994969875,257.43739177195,433.84393516384995,824.2570821455998
4,Big East Conference,44.0,629.2320492534091,684.6777277851448,10.96719815,241.90594401,354.60710913500003,719.2711079049999,2451.64413534,44.0,404.7178798788796,510.2236075154486,5.5932710565,165.015585754175,214.19208283335,378.4731925312501,2451.64413534
5,Big Ten Conference,94.0,623.751313653085,598.3307467133275,8.28908914,138.5144698925,443.41345245499997,908.4024594575,2374.85510716,94.0,349.65173225883615,324.6419775653498,8.28908914,111.89648968,230.7582997216,466.36320003755,1643.37095225
6,Missouri Valley Conference,2.0,569.147874305,283.9289373213261,368.37979735,468.7638358275,569.147874305,669.5319127824998,769.9159512599998,2.0,244.73358595114996,122.08944304817021,158.4033128605,201.56844940582496,244.73358595114996,287.89872249647493,331.0638590417999
7,Mountain West Conference,13.0,608.7810675846155,411.9669898630178,225.52660445,358.77340169,366.49082951,864.34570213,1494.62094856,13.0,335.12300333751534,186.1450583051557,96.9764399135,224.4044705611,358.77340169,440.81630808629995,762.2566837656
8,Pac-12 Conference,59.0,773.0205946005083,604.1917217918726,0.42253228,368.625238895,591.57626055,916.3886302349999,2341.325928,59.0,483.8172075876627,381.8946946699439,0.42253228,192.6303537906,405.8174001,686.673985245,1996.47123671
9,Southeastern Conference,74.0,535.2456206378378,426.8113268814727,47.58459118,232.09449591999999,463.39985067,642.3981946399998,1933.30887456,74.0,323.14439663960275,256.1241092445325,32.482169025000005,167.1080370624,247.96648605850004,411.11716656465006,1468.1753988
10,West Coast Conference,11.0,569.99604572,415.44887473401684,229.39774578,288.30060972499996,549.55293982,549.55293982,1562.78534726,11.0,357.3378878104908,218.00963131258666,122.88848053289999,165.1663769616,280.2719993082,549.55293982,671.9976993217999
