school_common_name,school_full_name,team,city,state,type,conference,address,lng,lat,key_0,count_dist,mean_dist,std_dist,min_dist,25%_dist,50%_dist,75%_dist,max_dist,count_wtDist,mean_wtDist,std_wtDist,min_wtDist,25%_wtDist,50%_wtDist,75%_wtDist,max_wtDist
St. John's,St. John's University,Red Storm,Jamaica,New York,Private/Catholic,Big East Conference,St. John's University Jamaica New York,-73.99007259999998,40.72994420000001,St. John's,5.0,1604.322755868,819.4558761931609,541.86658055,940.14675042,1968.01244491,2119.94386812,2451.64413534,5.0,1331.69872752942,952.6915002017467,233.0026296365,479.4748427142,1526.3595850463998,1968.01244491,2451.64413534
VCU,Virginia Commonwealth University,Rams,Richmond,Virginia,State,Atlantic 10 Conference,Virginia Commonwealth University Richmond Virginia,-77.45306424444706,37.548215,VCU,1.0,1627.8553183800002,,1627.8553183800002,1627.8553183800002,1627.8553183800002,1627.8553183800002,1627.8553183800002,1.0,1172.0558292336002,,1172.0558292336002,1172.0558292336002,1172.0558292336002,1172.0558292336002,1172.0558292336002
Virginia Tech,Virginia Tech,Hokies,Blacksburg,Virginia,State,Atlantic Coast Conference,Virginia Tech Blacksburg Virginia,-80.42542518694935,37.21872455,Virginia Tech,1.0,2260.87702463,,2260.87702463,2260.87702463,2260.87702463,2260.87702463,2260.87702463,1.0,972.1771205909,,972.1771205909,972.1771205909,972.1771205909,972.1771205909,972.1771205909
Stanford,Stanford University,Cardinal,Palo Alto,California,Private/Non-Sectarian,Pac-12 Conference,Stanford University Palo Alto California,-122.16936535498309,37.43131385,Stanford,8.0,1137.8926341737501,785.6665256408838,344.7614856400001,635.0240742975,724.6552876200001,1886.8707128750002,2327.9664515,8.0,783.0716802091001,591.6830081875702,175.82835767640006,403.78379262547503,604.4949364626,1004.569703451975,1996.47123671
Miami (FL),University of Miami,Hurricanes,Coral Gables,Florida,Private/Non-Sectarian,Atlantic Coast Conference,University of Miami Coral Gables Florida,-80.27869157646253,25.7172788,Miami (FL),3.0,1198.3823243099998,79.58129776340972,1109.63190438,1165.8784073,1222.12491022,1242.7575342750001,1263.39015833,3.0,777.2865297877999,144.400845424105,623.2837042122,711.1093376828999,798.9349711535999,854.2879425756,909.6409139976
Dayton,University of Dayton,Flyers,Dayton,Ohio,Private/Catholic,Atlantic 10 Conference,University of Dayton Dayton Ohio,-84.17919478013708,39.73845985,Dayton,1.0,1732.94779561,,1732.94779561,1732.94779561,1732.94779561,1732.94779561,1732.94779561,1.0,745.1675521123,,745.1675521123,745.1675521123,745.1675521123,745.1675521123,745.1675521123
Saint Louis,Saint Louis University,Billikens,St. Louis,Missouri,Private/Catholic,Atlantic 10 Conference,Saint Louis University St. Louis Missouri,-90.23167733181542,38.6352837,Saint Louis,1.0,1717.82983918,,1717.82983918,1717.82983918,1717.82983918,1717.82983918,1717.82983918,1.0,738.6668308474,,738.6668308474,738.6668308474,738.6668308474,738.6668308474,738.6668308474
Seton Hall,Seton Hall University,Pirates,South Orange,New Jersey,Private/Catholic,Big East Conference,Seton Hall University South Orange New Jersey,-74.24685806216726,40.74337195,Seton Hall,4.0,1359.1170211625,803.6116916116482,440.57689384,811.0926540025001,1444.64407903,1992.66844619,2106.60303275,4.0,733.40453305405,402.17309924650925,189.4480643512,552.0448860784,834.90126058125,1016.2609075569001,1074.3675467025
USC,University of Southern California,Trojans,Los Angeles,California,Private/Non-Sectarian,Pac-12 Conference,University of Southern California Los Angeles California,-118.28586726915087,34.0218833,USC,2.0,1052.885197805,976.9034214123327,362.11016396,707.4976808824999,1052.885197805,1398.2727147275,1743.66023165,2.0,705.5713686454001,777.6251236339593,155.70737050280002,430.6393695741,705.5713686454001,980.5033677167,1255.435366788
Vanderbilt,Vanderbilt University,Commodores,Nashville,Tennessee,Private/Non-Sectarian,Southeastern Conference,Vanderbilt University Nashville Tennessee,-86.80281889095295,36.14380105,Vanderbilt,4.0,1469.0779401774998,621.1021241261708,620.61914109,1196.9609381475,1661.1918725300002,1933.30887456,1933.30887456,4.0,659.485011686325,268.0804626375992,266.8662306687,598.0376956334251,769.8755000079,831.3228160608,831.3228160608
