school_common_name,seed,count,mean,std,min,25%,50%,75%,max,mean_wtDist,std_wtDist,min_wtDist,25%_wtDist,50%_wtDist,75%_wtDist,max_wtDist
Alabama,2.0,2.0,181.47761426000005,189.3533291468699,47.58459118,114.53110272000002,181.47761426000005,248.42412580000007,315.3706373400001,130.66388226720002,136.3343969857463,34.2609056496,82.46239395840001,130.66388226720002,178.86537057600003,227.06685888480004
Alabama,4.0,1.0,185.24933623,,185.24933623,185.24933623,185.24933623,185.24933623,185.24933623,79.65721457890001,,79.65721457890001,79.65721457890001,79.65721457890001,79.65721457890001,79.65721457890001
Arizona,1.0,6.0,494.2519564383333,299.83403393240843,0.42253228,381.25926475250003,515.16005497,700.1794839299998,836.29080148,494.2519564383333,299.83403393240843,0.42253228,381.25926475250003,515.16005497,700.1794839299998,836.29080148
Arizona,2.0,7.0,726.6543268942858,252.87757166242022,431.29982481,591.57626055,591.57626055,884.9658987649999,1110.61988427,523.1911153638856,182.0718515969426,310.5358738632,425.934907596,425.934907596,637.1754471108,799.6463166744
Arizona,3.0,4.0,698.4225574275,640.5547351310743,99.81703744,263.048092285,576.87462269,1012.2490878325,1540.12394689,356.19550428802506,326.6829149168479,50.9066890944,134.15452706535,294.20605757190003,516.247034794575,785.4632129139001
Arizona,4.0,3.0,1170.7893094366666,313.78258150225713,836.29080148,1026.8683940350002,1217.44598659,1338.038563415,1458.63114024,503.4394030577667,134.9265100459706,359.6050446364,441.55340943505007,523.5017742337001,575.35658226845,627.2113903032
Arkansas,1.0,2.0,384.26204010999993,272.31623895175176,191.70538092,287.983710515,384.26204010999993,480.5403697049998,576.8186992999998,384.26204010999993,272.31623895175176,191.70538092,287.983710515,384.26204010999993,480.5403697049998,576.8186992999998
Arkansas,2.0,1.0,450.27649515,,450.27649515,450.27649515,450.27649515,450.27649515,450.27649515,324.199076508,,324.199076508,324.199076508,324.199076508,324.199076508,324.199076508
Arkansas,3.0,1.0,585.18856667,,585.18856667,585.18856667,585.18856667,585.18856667,585.18856667,298.4461690017,,298.4461690017,298.4461690017,298.4461690017,298.4461690017,298.4461690017
Arkansas,4.0,3.0,622.8788602933334,164.26463394420605,450.27649515,545.6724779250001,641.0684607000002,709.1800428650001,777.2916250300002,267.83790992613336,70.6337925960086,193.6188929145,234.63916550775005,275.6594381010001,304.9474184319501,334.2353987629001
