2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Duke,Villanova,Villanova,UNC,Villanova,Wichita State,Indiana,UNC,Ohio State,Duke,Syracuse,UNC,Kansas,Villanova,UNC,Kentucky,Texas,Maryland,Illinois,Duke,Duke,UNC,UNC,UMass,Wake Forest,UNC,UNC,Duke,UNC,UConn,Georgetown,Temple,UNC,Duke,Georgetown
85,87,76,83,93,64,83,77,75,73,79,113,107,58,96,96,82,85,96,82,99,88,82,92,79,71,85,82,101,76,50,87,113,85,68
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
North Dakota State,Radford,Mount St. Mary's,Florida Gulf Coast,Lafayette,Cal Poly,James Madison,Vermont,UTSA,Arkansas-Pine Bluff,Vermont,Mount St. Mary's,Niagara,Monmouth,Oakland,Florida A&M,UNC Asheville,Siena,Northwestern State,Lamar,Florida A&M,Navy,Fairfield,UCF,North Carolina A&T,Liberty,East Carolina,Campbell,Northeastern,Boston University,Princeton,Lehigh,Penn,Mississippi Valley State,Lehigh
62,61,56,67,52,37,62,58,46,44,56,74,67,45,68,76,61,70,54,55,58,52,74,70,47,51,65,56,66,52,49,73,82,78,43
"at Columbia, SC","at Pittsburgh, PA","at Buffalo, NY","at Raleigh, NC","at Pittsburgh, PA","at St. Louis, MO","at Dayton, OH","at Greensboro, NC","at Cleveland, OH","at Jacksonville, FL","at Buffalo, NY","at Raleigh, NC","at Chicago, IL","at Philadelphia, PA","at Charlotte, NC","at Columbus, OH","at Birmingham, AL","at Washington, DC","at Dayton, OH","at Winston-Salem, NC","at Charlotte, NC","at Hartford, CT","at Winston-Salem, NC","at Providence, RI","at Baltimore, MD","at Landover, MD","at Winston-Salem, NC","at Greensboro, NC","at Syracuse, NY","at Hartford, CT","at Providence, RI","at Hartford, CT","at Charlotte, NC","at Greensboro, NC","at Hartford, CT"
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
VCU,Virginia Tech,Wisconsin,USC,NC State,Kentucky,NC State,Creighton,George Mason,California,Gonzaga,Indiana,Kentucky,Arizona,Minnesota,Washington,LSU,Wisconsin,Tennessee,Kansas,College of Charleston,Charlotte,Indiana,Bradley,Minnesota,Washington State,Rhode Island,Texas,Princeton,Indiana,Vanderbilt,Georgetown,Navy,Old Dominion,Temple
58,83,84,69,66,56,72,58,61,77,67,72,67,94,53,100,56,80,63,81,53,77,62,58,61,64,74,92,48,63,65,66,82,72,60
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
UCF,Alabama,Virginia Tech,Providence,LSU,Kansas State,Temple,Alabama,Villanova,Louisville,Florida State,Arkansas,Villanova,Wisconsin,Iowa State,Alabama-Birmingham,Purdue,St. John's (NY),Charlotte,DePaul,Tulsa,UIC,Colorado,Stanford,Saint Louis,Boston College,Purdue,Iowa,Villanova,California,Notre Dame,LSU,Michigan,West Virginia,Virginia Tech
73,86,74,70,65,49,76,57,57,62,60,86,58,75,64,102,80,70,70,77,62,62,80,66,64,67,68,98,50,65,81,63,97,64,57
"at Columbia, SC","at Pittsburgh, PA","at Buffalo, NY","at Raleigh, NC","at Pittsburgh, PA","at St. Louis, MO","at Dayton, OH","at Greensboro, NC","at Cleveland, OH","at Jacksonville, FL","at Buffalo, NY","at Raleigh, NC","at Chicago, IL","at Philadelphia, PA","at Charlotte, NC","at Columbus, OH","at Birmingham, AL","at Washington, DC","at Dayton, OH","at Winston-Salem, NC","at Charlotte, NC","at Hartford, CT","at Winston-Salem, NC","at Providence, RI","at Baltimore, MD","at Landover, MD","at Winston-Salem, NC","at Greensboro, NC","at Syracuse, NY","at Hartford, CT","at Providence, RI","at Hartford, CT","at Charlotte, NC","at Greensboro, NC","at Hartford, CT"
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Mississippi State,West Virginia,Virginia,Indiana,Northern Iowa,Saint Louis,UNLV,Temple,West Virginia,Texas A&M,Butler,Notre Dame,Virginia Tech,Nevada,Villanova,Providence,UConn,Marquette,Syracuse,Florida,Wisconsin,Princeton,California,Penn State,Alabama,Indiana,St. John's (NY),Missouri,Mississippi State,Clemson,NC State,Georgia Tech,Notre Dame,Virginia,SMU
76,85,76,99,71,83,61,44,84,69,77,68,54,79,55,58,58,69,79,69,32,69,55,80,91,84,85,89,56,49,81,90,84,68,85
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Liberty,Murray State,UNC Wilmington,Chattanooga,Wyoming,NC State,California,South Florida,Clemson,Utah State,UTEP,George Mason,Illinois,Montana,New Mexico,Pacific,BYU,Tulsa,Hawaii,Butler,Missouri State,UNLV,Princeton,Arkansas,Penn,Ohio,Texas Tech,West Virginia,Eastern Michigan,BYU,South Carolina,Iowa State,Middle Tennessee,DePaul,Old Dominion
80,68,71,74,54,80,64,58,76,53,59,50,52,87,47,66,53,71,69,68,43,57,52,86,85,72,67,78,76,47,66,78,71,72,68
"at San Jose, CA","at San Diego, CA","at Orlando, FL","at Des Moines, IA","at Seattle, WA","at Orlando, FL","at San Jose, CA","at Nashville, TN","at Tampa, FL","at Spokane, WA","at San Jose, CA","at Denver, CO","at Columbus, OH","at Salt Lake City, UT","at Nashville, TN","at Kansas City, MO","at Spokane, WA","at St. Louis, MO","at Dayton, OH","at Winston-Salem, NC","at Charlotte, NC","at Hartford, CT","at Winston-Salem, NC","at Providence, RI","at Baltimore, MD","at Landover, MD","at Winston-Salem, NC","at Greensboro, NC","at Syracuse, NY","at Hartford, CT","at Providence, RI","at Hartford, CT","at Charlotte, NC","at Greensboro, NC","at Hartford, CT"
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Virginia Tech,Wichita State,Florida,Kentucky,Louisville,Louisville,Syracuse,Michigan,Kentucky,Purdue,Vanderbilt,Washington State,Southern Illinois,Boston College,Florida,Kansas,Stanford,Kentucky,Kansas,Illinois,Tennessee,Michigan State,Villanova,Marquette,Oklahoma State,Temple,Arkansas,Seton Hall,UCLA,La Salle,Iowa,Indiana,TCU,Oklahoma,Loyola (IL)
66,75,80,85,57,71,81,60,59,72,65,71,61,88,67,78,77,83,99,68,62,83,101,68,73,61,94,78,69,79,87,69,76,80,59
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Saint Louis,Marshall,ETSU,Stony Brook,UC-Irvine,Manhattan,Montana,Ohio,Princeton,Siena,Murray State,Winthrop,Holy Cross,Pacific,Ohio,UIC,San Diego,Valparaiso,Cal State Northridge,Penn,Delaware,Eastern Michigan,LIU,Monmouth,Drexel,Drexel,Holy Cross,La Salle,Penn State,Southern Miss,Rutgers,Richmond,Marshall,Northeastern,Iona
52,81,65,57,55,64,34,65,57,64,66,40,51,76,62,53,69,68,75,58,52,71,91,44,49,39,64,76,74,63,73,72,60,74,58
